174.141.143.207:10200,Socks4/Socks5
217.197.251.102:1080,Socks4
120.195.194.169:80,HTTP/HTTPS
104.202.117.191:80,HTTP
130.211.249.86:80,HTTP/HTTPS
120.195.202.244:80,HTTP/HTTPS
176.10.250.103:1080,Socks4/Socks5
115.28.37.33:1080,Socks4/Socks5
37.187.104.45:8118,HTTP
218.213.166.218:81,HTTP
190.92.87.102:8080,HTTPS
120.195.202.11:80,HTTP/HTTPS
180.175.162.59:8118,HTTP
120.195.200.151:80,HTTP/HTTPS
122.117.227.162:1080,Socks4
120.195.200.198:80,HTTP/HTTPS
85.143.164.100:81,HTTP
221.178.181.204:80,HTTP/HTTPS
120.195.192.82:80,HTTP/HTTPS
202.100.167.158:80,HTTP/HTTPS
